,identifier,(,),{,},,,=,integerLiteral,*,+,<,!,if,else,while,int,,,$,program',program,function,parameterList,assignmentStatement,expression,declarationStatement,conditionalStatement,loopStatement,statement,blockStatement
0,s4, , , , , , , , , , , ,s11, ,s10,s5,s9,r3, ,1,2, ,6, , ,8,7,3, ,,
1, , , , , , , , , , , , , , , , , ,acc, , , , , , , , , , , ,,
2,s4, , , , , , , , , , , ,s11, ,s10,s5,s9,r3, ,12,2, ,6, , ,8,7,3, ,,
3,s4, , , , , , , , , , , ,s11, ,s10,s5,s9,r3, ,13,2, ,6, , ,8,7,3, ,,
4, ,s14, , , , ,s15, , , , , , , , , , , , , , , , , , , , , , ,,
5,s17, , , , , , , , , , , , , , , , , , , , , , , ,16, , , , ,,
6, , , , , , , , , , , , , , , , ,s18, , , , , , , , , , , , ,,
7,r22, , , ,r22, , , , , , , ,r22, ,r22,r22,r22,r22, , , , , , , , , , , ,,
8,r23, , , ,r23, , , , , , , ,r23, ,r23,r23,r23,r23, , , , , , , , , , , ,,
9,r24, , , ,r24, , , , , , , ,r24, ,r24,r24,r24,r24, , , , , , , , , , , ,,
10, ,s19, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
11, ,s20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
12, , , , , , , , , , , , , , , , , ,r1, , , , , , , , , , , ,,
13, , , , , , , , , , , , , , , , , ,r2, , , , , , , , , , , ,,
14,s22, , , , , , , , , , , , , , , , , , , , ,21, , , , , , , ,,
15,s24,s27, , , , , ,s25, , , ,s26, , , , , , , , , , , ,23, , , , , ,,
16, , , , , , , , , , , , , , , , ,s28, , , , , , , , , , , , ,,
17, , , , , ,s29, , , , , , , , , , ,r16, , , , , , , , , , , , ,,
18,r21, , , ,r21, , , , , , , ,r21, ,r21,r21,r21,r21, , , , , , , , , , , ,,
19,s24,s27, , , , , ,s25, , , ,s26, , , , , , , , , , , ,30, , , , , ,,
20,s24,s27, , , , , ,s25, , , ,s26, , , , , , , , , , , ,31, , , , , ,,
21, , ,s32, , , , , , , , , , , , , , , , , , , , , , , , , , ,,
22, , ,r6, , ,s33, , , , , , , , , , , , , , , , , , , , , , , ,,
23, , , , , , , , ,s34,s35,s36, , , , , ,r7, , , , , , , , , , , , ,,
24, , ,r8, , , , , ,r8,r8,r8, , , , , ,r8, , , , , , , , , , , , ,,
25, , ,r9, , , , , ,r9,r9,r9, , , , , ,r9, , , , , , , , , , , , ,,
26,s24,s27, , , , , ,s25, , , ,s26, , , , , , , , , , , ,37, , , , , ,,
